algorithm,threads,data_size,runtime_seconds
pbwt,1,1000x100000,50.811
hp_pbwt,2,1000x100000,28.313
hp_pbwt,4,1000x100000,30.01
hp_pbwt,6,1000x100000,30.316
hp_pbwt,8,1000x100000,29.839
pbwt,1,1200x100000,73.582
hp_pbwt,2,1200x100000,40.44
hp_pbwt,4,1200x100000,44.983
hp_pbwt,6,1200x100000,45.154
hp_pbwt,8,1200x100000,44.593
pbwt,1,1600x100000,124.596
hp_pbwt,2,1600x100000,73.203
hp_pbwt,4,1600x100000,76.797
hp_pbwt,6,1600x100000,82.063
hp_pbwt,8,1600x100000,80.496
pbwt,1,2000x100000,216.768
hp_pbwt,2,2000x100000,122.18
hp_pbwt,4,2000x100000,113.804
hp_pbwt,6,2000x100000,110.907
hp_pbwt,8,2000x100000,111.439

